0,0.178,0.244,0.17,0.442,0.08,0.053,231.817,440.487
0,0.292,0.016,0.397,0.308,0.109,0.027,220.313,78.747
0,0.186,0.228,0.319,0.028,0.36,0.411,233.01,141.845
0,0.136,0.328,0.428,0.449,0.063,0.027,135.735,500.42
0,0.122,0.356,0.125,0.468,0.329,0.347,108.65,203.801
0,0.292,0.016,0.397,0.27,0.352,0.141,228.049,62.894
0,0.208,0.184,0.387,0.082,0.385,0.069,238.611,223.282
0,0.222,0.156,0.061,0.136,0.393,0.075,419.879,277.437
0,0.178,0.244,0.381,0.343,0.232,0.134,143.775,295.018
0,0.208,0.184,0.457,0.158,0.408,0.237,155.694,139.125
0,0.112,0.376,0.029,0.323,0.287,0.277,160.099,295.669
0,0.178,0.244,0.326,0.132,0.399,0.408,184.169,116.166
0,0.154,0.292,0.149,0.291,0.278,0.061,225.221,375.356
0,0.148,0.304,0.037,0.229,0.202,0.154,269.481,414.807
0,0.188,0.224,0.227,0.377,0.434,0.259,149.791,151.5
0,0.136,0.328,0.144,0.032,0.446,0.168,197.791,245.019
0,0.276,0.048,0.427,0.246,0.092,0.338,221.196,103.904
0,0.174,0.252,0.18,0.285,0.075,0.368,234.591,284.381
0,0.226,0.148,0.195,0.05,0.326,0.276,386.598,213.103
0,0.088,0.424,0.076,0.321,0.069,0.16,194.82,543.519
0,0.234,0.132,0.275,0.193,0.142,0.364,305.781,191.509
0,0.278,0.044,0.432,0.034,0.267,0.23,296.043,114.584
0,0.168,0.264,0.069,0.373,0.179,0.314,215.735,287.047
0,0.152,0.296,0.38,0.065,0.23,0.462,176.472,163.12
0,0.216,0.168,0.172,0.299,0.461,0.442,218.101,68.884
0,0.19,0.22,0.415,0.139,0.312,0.059,206.24,271.211
0,0.292,0.016,0.133,0.165,0.364,0.087,534.65,115.112
0,0.066,0.468,0.117,0.331,0.396,0.1,105.058,313.412
0,0.228,0.144,0.173,0.255,0.186,0.121,344.845,285.857
0,0.164,0.272,0.362,0.41,0.1,0.258,123.629,314.561
0,0.05,0.5,0.059,0.205,0.031,0.103,208.549,663.506
0,0.128,0.344,0.31,0.108,0.254,0.106,197.097,393.767
0,0.058,0.484,0.371,0.449,0.109,0.332,70.956,352.866
0,0.274,0.052,0.082,0.12,0.349,0.149,568.296,194.737
0,0.21,0.18,0.2,0.067,0.128,0.092,420.405,394.439
0,0.09,0.42,0.411,0.128,0.074,0.452,120.713,232.52
0,0.2,0.2,0.185,0.214,0.325,0.38,256.856,161.042
0,0.266,0.068,0.256,0.171,0.217,0.19,391.951,173.684
0,0.116,0.368,0.083,0.043,0.348,0.328,195.776,242.428
0,0.256,0.088,0.313,0.467,0.175,0.073,159.339,184.78
0,0.054,0.492,0.16,0.213,0.062,0.18,159.732,559.637
0,0.236,0.128,0.252,0.353,0.38,0.212,213.414,149.761
0,0.084,0.432,0.123,0.021,0.306,0.384,147.888,231.368
0,0.258,0.084,0.321,0.444,0.041,0.437,160.819,127.207
0,0.262,0.076,0.419,0.326,0.096,0.413,172.836,110.273
0,0.194,0.212,0.097,0.153,0.102,0.456,339.577,239.578
0,0.076,0.448,0.188,0.437,0.314,0.393,77.92,194.875
0,0.098,0.404,0.206,0.097,0.221,0.027,218.717,511.128
0,0.214,0.172,0.261,0.118,0.37,0.27,286.569,179.576
0,0.064,0.472,0.14,0.103,0.331,0.032,153.198,423.491
0,0.196,0.208,0.306,0.113,0.225,0.444,248.056,165.81
0,0.078,0.444,0.391,0.088,0.054,0.049,214.205,638.762
0,0.072,0.456,0.454,0.164,0.34,0.356,76.047,198.746
0,0.252,0.096,0.399,0.306,0.035,0.248,210.499,182.37
0,0.182,0.236,0.354,0.419,0.338,0.186,109.407,215.345
0,0.104,0.392,0.266,0.303,0.083,0.227,154.949,440.556
0,0.06,0.48,0.23,0.4,0.189,0.129,111.104,484.644
0,0.288,0.024,0.338,0.464,0.276,0.193,134.732,68.112
0,0.158,0.284,0.199,0.177,0.284,0.429,204.487,173.518
0,0.25,0.1,0.331,0.269,0.47,0.419,211.143,59.117
0,0.056,0.488,0.239,0.239,0.438,0.342,70.543,151.394
0,0.292,0.016,0.286,0.191,0.317,0.347,373.659,70.177
0,0.16,0.28,0.365,0.426,0.115,0.079,140.812,412.164
0,0.296,0.008,0.242,0.403,0.299,0.118,239.097,57.147
0,0.132,0.336,0.34,0.094,0.021,0.024,303.884,592.981
0,0.102,0.396,0.394,0.387,0.439,0.466,57.191,65.022
0,0.106,0.388,0.127,0.181,0.449,0.287,128.698,176.454
0,0.254,0.092,0.049,0.241,0.17,0.14,467.558,265.183
0,0.158,0.284,0.451,0.202,0.423,0.397,104.945,101.006
0,0.184,0.232,0.113,0.221,0.236,0.373,269.284,223.634
0,0.192,0.216,0.37,0.431,0.205,0.321,106.088,203.289
0,0.204,0.192,0.292,0.288,0.166,0.282,216.001,241.538
0,0.244,0.112,0.042,0.234,0.241,0.142,442.032,266.871
0,0.23,0.14,0.025,0.197,0.405,0.309,384.717,173.52
0,0.142,0.316,0.435,0.055,0.211,0.46,154.734,165.279
