0,0.22,0.34,0.119,0.268,0.99,0.99,0.295,0.027,0.99,0.99,110.269,160.994,0.685
0,0.064,0.496,0.46,0.289,0.99,0.99,0.042,0.095,0.99,0.99,45.08,299.308,0.151
0,0.308,0.252,0.047,0.433,0.99,0.99,0.48,0.281,0.99,0.99,57.512,49.204,1.169
0,0.108,0.452,0.096,0.122,0.99,0.99,0.417,0.168,0.99,0.99,60.712,108.274,0.561
0,0.47,0.09,0.298,0.172,0.99,0.99,0.273,0.075,0.99,0.99,156.541,55.595,2.816
0,0.392,0.168,0.26,0.081,0.99,0.99,0.182,0.341,0.99,0.99,173.669,72.569,2.393
0,0.128,0.432,0.241,0.196,0.99,0.99,0.311,0.221,0.99,0.99,59.654,128.403,0.465
0,0.09,0.47,0.361,0.39,0.99,0.99,0.354,0.416,0.99,0.99,20.101,59.831,0.336
0,0.284,0.276,0.183,0.46,0.99,0.99,0.165,0.482,0.99,0.99,66.303,61.64,1.076
0,0.16,0.4,0.337,0.403,0.99,0.99,0.236,0.055,0.99,0.99,46.47,180.548,0.257
0,0.344,0.216,0.026,0.055,0.99,0.99,0.108,0.305,0.99,0.99,246.147,137.15,1.795
0,0.322,0.238,0.485,0.227,0.99,0.99,0.465,0.451,0.99,0.99,37.114,14.401,2.577
0,0.246,0.314,0.176,0.145,0.99,0.99,0.07,0.111,0.99,0.99,155.391,205.269,0.757
0,0.198,0.362,0.061,0.325,0.99,0.99,0.332,0.43,0.99,0.99,78.662,61.966,1.269
0,0.432,0.128,0.39,0.301,0.99,0.99,0.031,0.26,0.99,0.99,87.765,61.139,1.435
0,0.546,0.014,0.297,0.347,0.99,0.99,0.149,0.241,0.99,0.99,102.869,13.96,7.369
0,0.476,0.084,0.153,0.48,0.99,0.99,0.419,0.139,0.99,0.99,62.288,35.632,1.748
0,0.03,0.53,0.44,0.033,0.99,0.99,0.089,0.183,0.99,0.99,35.375,255.889,0.138
0,0.384,0.176,0.401,0.203,0.99,0.99,0.387,0.347,0.99,0.99,82.587,34.587,2.388
0,0.498,0.062,0.225,0.105,0.99,0.99,0.203,0.378,0.99,0.99,215.988,38.851,5.559
0,0.366,0.194,0.359,0.363,0.99,0.99,0.287,0.089,0.99,0.99,69.808,78.882,0.885
0,0.53,0.03,0.248,0.17,0.99,0.99,0.379,0.229,0.99,0.99,185.778,22.215,8.363
0,0.54,0.02,0.019,0.289,0.99,0.99,0.312,0.299,0.99,0.99,200.979,23.593,8.519
0,0.182,0.378,0.169,0.182,0.99,0.99,0.442,0.015,0.99,0.99,78.048,110.892,0.704
0,0.078,0.482,0.122,0.155,0.99,0.99,0.199,0.466,0.99,0.99,49.995,78.889,0.634
0,0.248,0.312,0.443,0.058,0.99,0.99,0.323,0.266,0.99,0.99,73.65,77.486,0.95
0,0.316,0.244,0.267,0.261,0.99,0.99,0.313,0.283,0.99,0.99,98.778,71.888,1.374
0,0.148,0.412,0.45,0.034,0.99,0.99,0.053,0.357,0.99,0.99,70.358,124.741,0.564
0,0.056,0.504,0.32,0.143,0.99,0.99,0.475,0.043,0.99,0.99,24.994,79.78,0.313
0,0.11,0.45,0.325,0.242,0.99,0.99,0.037,0.409,0.99,0.99,51.526,117.271,0.439
0,0.278,0.282,0.418,0.101,0.99,0.99,0.077,0.308,0.99,0.99,97.412,104.292,0.934
0,0.536,0.024,0.476,0.046,0.99,0.99,0.204,0.102,0.99,0.99,77.977,19.791,3.94
0,0.45,0.11,0.014,0.246,0.99,0.99,0.021,0.349,0.99,0.99,223.716,83.86,2.668
0,0.364,0.196,0.408,0.483,0.99,0.99,0.341,0.181,0.99,0.99,27.246,56.212,0.485
0,0.406,0.154,0.029,0.427,0.99,0.99,0.327,0.155,0.99,0.99,107.186,75.08,1.428
0,0.442,0.118,0.433,0.37,0.99,0.99,0.446,0.339,0.99,0.99,47.205,19.269,2.45
0,0.19,0.37,0.312,0.269,0.99,0.99,0.245,0.242,0.99,0.99,64.016,124.001,0.516
0,0.116,0.444,0.366,0.277,0.99,0.99,0.253,0.065,0.99,0.99,48.439,188.355,0.257
0,0.028,0.532,0.297,0.112,0.99,0.99,0.133,0.212,0.99,0.99,31.979,223.99,0.143
0,0.494,0.066,0.022,0.082,0.99,0.99,0.337,0.326,0.99,0.99,317.149,60.09,5.278
0,0.46,0.1,0.41,0.104,0.99,0.99,0.159,0.295,0.99,0.99,115.98,45.201,2.566
0,0.226,0.334,0.231,0.443,0.99,0.99,0.086,0.15,0.99,0.99,69.094,180.594,0.383
0,0.524,0.036,0.119,0.416,0.99,0.99,0.234,0.086,0.99,0.99,110.273,31.031,3.554
