Epoch,Average Train Loss,Average Validation Loss
100,2458.164186503852,2603.111644659042
200,1056.393172927401,1252.035567817688
300,426.58355355760943,534.2371729779244
400,137.2185156701216,194.95237615466118
500,107.71935860434576,155.41055904269217
600,95.89621224737878,136.7321304500103
700,88.14339948597241,128.613866212368
800,83.7824224093423,120.49159030199051
900,80.09163770490618,116.90491518497467
1000,77.69567615850647,108.93993924498558
1100,75.5213116452943,108.3548054254055
1200,73.80974470771962,103.24686807096005
1300,71.25938823934811,104.47050424993039
1400,69.77381170593091,102.88121327221394
1500,68.39647194897951,96.83926400721073
1600,66.41579122771078,96.0457741677761
1700,65.30001775691758,91.17920219123363
1800,63.01517643650966,91.39621331691743
1900,61.025640242633536,89.12019780993461
2000,58.72511503974004,81.6804871827364
